Timestamp,Therapist joint angle 0,Therapist joint angle 1,Therapist joint angle 2,Patient joint angle 0,Patient joint angle 1,Patient joint angle 2,Therapist position x,Therapist position y,Therapist position z,Patient position x,Patient position y,Patient position z,Virtual position x, Patient Constant Force, Recovery Factor, Assistance Level
6.38217E+17,-31.82951,37.68567,19.75179,-27.94211,31.32679,27.363,-79.4229,-20.63369,-40.40115,-82.09548,-25.74864,-13.57382,0.001067912,0.07074871,0.7937435,0.07074871
6.38217E+17,-31.26407,38.90133,20.12534,-27.94211,32.63597,28.2035,-77.67059,-18.11665,-40.42365,-82.15025,-22.25237,-13.47057,0.001067912,0.07119297,0.7938977,0.07119297
6.38217E+17,-30.74575,39.92997,20.47555,-27.94211,33.82826,29.02065,-76.12387,-15.98434,-40.37567,-82.22,-19.02056,-13.33907,0.001067912,0.07178374,0.7940295,0.07178374
6.38217E+17,-30.43947,40.5378,20.75572,-27.94211,34.52961,29.46425,-75.28496,-14.67478,-40.23219,-82.21244,-17.16583,-13.35332,0.001067912,0.07172962,0.7940933,0.07172962
6.38217E+17,-29.99183,41.56644,21.24601,-27.94211,35.51149,30.14132,-74.0283,-12.46047,-40.087,-82.23867,-14.51117,-13.30387,0.001067912,0.07225547,0.7942047,0.07225547
6.38217E+17,-29.54419,42.59509,21.75965,-27.91855,36.37648,30.81839,-72.78127,-10.24544,-39.94074,-82.25746,-12.08203,-13.11427,0.001067912,0.0733109,0.7942886,0.0733109
6.38217E+17,-29.14367,43.48346,22.2266,-27.84787,37.17134,31.28534,-71.68539,-8.327289,-39.78748,-81.98347,-10.03966,-13.16893,0.001067912,0.07349777,0.7943578,0.07349777
6.38217E+17,-28.90807,43.90427,22.46007,-27.80075,37.61553,31.44877,-71.07204,-7.412583,-39.64609,-81.7145,-9.020334,-13.36961,0.001067912,0.07297651,0.7943993,0.07297651
6.38217E+17,-28.36619,44.7225,22.83363,-27.56516,38.59741,31.72893,-69.60081,-5.7152,-39.44426,-80.68096,-6.880622,-13.79269,0.001067912,0.07183822,0.7945029,0.07183822
6.38217E+17,-27.80075,45.37709,23.09044,-27.37668,39.50917,32.07914,-68.07912,-4.405689,-39.23059,-79.8755,-4.802011,-14.10088,0.001067912,0.0712752,0.7946221,0.0712752
6.38217E+17,-27.14108,46.03168,23.27722,-27.09396,40.5378,32.49939,-66.27287,-3.170614,-39.07008,-78.78878,-2.446224,-14.34316,0.001067912,0.07113025,0.794744,0.07113025
6.38217E+17,-26.78768,46.3356,23.34727,-26.90548,40.98199,32.66283,-65.31166,-2.61638,-38.98575,-78.12134,-1.458349,-14.40089,0.001067912,0.07116725,0.794804,0.07116725
6.38217E+17,-26.08088,46.92005,23.5107,-26.45784,41.70671,32.98969,-63.42963,-1.531008,-38.76455,-76.70459,0.220343,-14.22046,0.001067912,0.07167608,0.7949107,0.07167608
6.38217E+17,-25.20916,47.64478,23.81421,-25.84528,42.52495,33.17647,-61.19856,-0.1032581,-38.35037,-74.65444,1.870255,-14.23079,0.001067912,0.07094606,0.7950241,0.07094606
6.38217E+17,-24.2432,48.34613,24.09438,-25.25628,43.2263,33.26986,-58.74492,1.253801,-37.89977,-72.6699,3.185546,-14.31152,0.001067912,0.07031208,0.7951565,0.07031208
6.38217E+17,-23.67776,48.6968,24.18777,-24.90288,43.69386,33.36324,-57.28879,1.883267,-37.70474,-71.47971,4.094808,-14.38041,0.001067912,0.07011405,0.7952243,0.07011405
6.38217E+17,-22.49976,49.32801,24.32785,-24.29032,44.67575,33.62006,-54.28019,2.980772,-37.30449,-69.3794,6.063351,-14.62241,0.001067912,0.07014657,0.7953567,0.07014657
6.38217E+17,-21.2982,49.93584,24.42124,-23.79556,45.33034,33.76015,-51.20071,3.986744,-37.01482,-67.72415,7.321407,-14.76657,0.001067912,0.07136498,0.7954637,0.07136498
6.38217E+17,-20.70921,50.21638,24.49128,-23.5364,45.63425,33.78349,-49.7233,4.473258,-36.825,-66.84541,7.847546,-14.88279,0.001067912,0.07166404,0.7955079,0.07166404
6.38217E+17,-19.55477,50.77746,24.53798,-22.99452,46.1252,33.78349,-46.75918,5.349023,-36.70619,-65.07058,8.642996,-15.01255,0.001067912,0.07303091,0.7955691,0.07303091
6.38217E+17,-18.80085,51.24502,24.63136,-22.42908,46.49924,33.78349,-44.81407,6.124114,-36.71592,-63.314,9.244319,-14.95976,0.001067912,0.07339644,0.795612,0.07339644
6.38217E+17,-18.21185,51.75934,24.84149,-21.79296,46.84992,33.78349,-43.30456,7.073881,-36.73018,-61.38671,9.804316,-14.81759,0.001067912,0.0729003,0.7956606,0.0729003
6.38217E+17,-17.99981,51.99313,24.95823,-21.48668,46.96681,33.78349,-42.76105,7.524181,-36.74353,-60.49235,9.990172,-14.6765,0.001067912,0.07256902,0.7956909,0.07256902
6.38217E+17,-17.48149,52.46069,25.23839,-20.75632,47.31749,33.78349,-41.48775,8.467331,-36.6193,-58.31656,10.54531,-14.47734,0.001067912,0.07119569,0.7957737,0.07119569
6.38217E+17,-16.98673,52.85812,25.42517,-19.97885,47.64478,33.78349,-40.24864,9.214369,-36.59351,-56.03144,11.06012,-14.22786,0.001067912,0.07000058,0.7958858,0.07000058
6.38217E+17,-16.44485,53.16203,25.44852,-19.24849,47.94869,33.78349,-38.85471,9.663293,-36.71355,-53.88959,11.53528,-14.02084,0.001067912,0.06957542,0.7960094,0.06957542
6.38217E+17,-16.06789,53.32568,25.49521,-18.89509,48.08897,33.78349,-37.93052,9.937949,-36.65972,-52.85808,11.75364,-13.92099,0.001067912,0.06949186,0.7960718,0.06949186
6.38217E+17,-15.26685,53.67635,25.56526,-18.30609,48.34613,33.78349,-35.95172,10.49366,-36.63333,-51.12761,12.15244,-13.80949,0.001067912,0.06995619,0.7961859,0.06995619
6.38217E+17,-14.56006,54.02703,25.65865,-17.83489,48.53315,33.78349,-34.20776,11.06905,-36.64804,-49.7552,12.44121,-13.7043,0.001067912,0.07066169,0.7962851,0.07066169
6.38217E+17,-14.1831,54.23743,25.70534,-17.57573,48.60329,33.78349,-33.2673,11.40307,-36.71561,-49.01825,12.54922,-13.5975,0.001067912,0.07128012,0.7963234,0.07128012
